subject_id,subject_name
668,Manhattan New York N Y Buildings structures etc
669,New York N Y Buildings structures etc
670,World Trade Center Site New York N Y
671,American wit and humor Pictorial
672,Architecture Caricatures and cartoons
673,Decoration and ornament Islamic
674,Islamic art and symbolism
675,Islamic decoration and ornament
676,Architecture Islamic India
677,Architecture Islamic Iran
678,Art Islamic India
679,Art Islamic Iran
680,Islamic architecture India
681,Islamic architecture Iran
682,Architecture France
683,Architecture Awards Great Britain
684,Architecture France 17th century
685,Architecture France 18th century
686,Architecture France History 17th century
687,Architecture France History 18th century
688,Neoclassicism Architecture France
689,Neoclassicism Architecture Influence
690,Symbolism in architecture France
691,Architecture France 19th century
692,Architecture France History 19th century
693,Architecture Study and teaching France
694,Architecture France History
695,Architecture and society United States History 18th century
696,Architecture Historiography
697,Historic preservation United States
698,Jefferson Thomas 1743 1826
699,Kimball Fiske 1888 1955
700,Architecture California 20th century Catalogs
701,Architecture California History 20th century Catalogs
702,Modern movement Architecture California Catalogs
703,Schindler R M Rudolph M 1887 1953 Catalogs
704,Architecture Outlines syllabi etc
705,Architecture Renaissance
706,Classicism in architecture
707,Interior architecture United States Themes motives
708,Interior decoration United States Themes motives
709,Architecture China 21st century
710,Architecture China History 21st century
711,Microsoft Windows server
712,Operating systems Computers
713,Architecture England
714,Architecture England London History
715,Architecture Victorian England London
716,Architecture Georgian United States
717,Schmidt Mott B 1889 1977 Criticism and interpretation
718,Art American 20th century Catalogs
719,Art Private collections United States Catalogs
720,Ebsworth Barney A Art collections Catalogs
721,Ebsworth Barney A Homes and haunts Washington State Hunts Point
722,Modernism Art United States Catalogs
723,Olson Jim 1940
724,Building materials
725,Form Aesthetics
726,Architecture Regency
727,Decoration and ornament Regency style
728,Architecture Byzantine History
729,Architecture New York State New York
730,Architecture New York State New York 19th century
731,Architecture New York State New York History 19th century
732,Architecture Pennsylvania Bucks County
733,Vernacular architecture
734,Art
735,Spanish mission buildings California
736,Architecture Gothic
737,Painting Gothic
738,Sculpture Gothic
739,Architecture Gothic Europe
740,Cathedrals Europe
741,Theater architecture
742,Architecture History Juvenile literature
743,Kahn Louis I 1901 1974
744,Structural analysis Engineering
745,Art deco Architecture California San Francisco Bay Area
746,Decoration and ornament Art deco
747,Walking California San Francisco Bay Area
748,Art Byzantine
749,Architects United States History 20th century
750,Architectural design History 20th century
751,Performing arts New York State New York History 19th century
752,Performing arts New York State New York History 20th century
753,Theater architecture New York State New York
754,Theaters New York State New York History
755,Architecture Scandinavia History
756,Design Spain Themes motives
757,Architecture Great Britain 20th century Guidebooks
758,Architecture Ireland 20th century Guidebooks
759,Architecture Ireland History 20th century Guidebooks
760,Art British 20th century Guidebooks
761,Art Irish 20th century Guidebooks
762,Art Ancient History
763,Art Mediterranean Region History
764,Indian architecture North America
765,Indians of North America Homes and haunts
766,Architecture and solar radiation History
767,Solar energy History
768,Memorials New York State New York Planning
769,20 Exchange Place New York N Y
770,40 Wall Street New York N Y
771,AIG Building New York N Y
772,Art deco Architecture New York State New York
773,One Wall Street New York N Y 1931
774,Skyscrapers New York State New York
775,Wall Street New York N Y History 20th century
776,Johnson Philip 1906 2005
777,Architecture East Asia
778,Architecture East Asia Designs and plans
779,Gardens Chinese
780,Gardens Japanese
781,Gardens Korean
782,Architecture United States History
783,Architecture England 20th century
784,Architecture England History 20th century
785,Classicism in architecture England
786,Classicism in architecture United States
787,Terry Quinlan 1937 Criticism and interpretation
788,Motion pictures Setting and scenery Exhibitions
789,Architecture Washington D C Guidebooks
790,Buildings Washington D C Guidebooks
791,Washington D C Buildings structures etc Guidebooks
792,Washington D C Guidebooks
793,Architecture Buddhist Nepal Kathmandu Valley
794,Architecture Hindu Nepal Kathmandu Valley
795,Architecture Nepal Kathmandu Valley
796,Art Buddhist Nepal Kathmandu Valley
797,Art Hindu Nepal Kathmandu Valley
798,Art Nepali Nepal Kathmandu Valley
799,Buddhist architecture Nepal Kathmandu Valley
800,Buddhist art Nepal Kathmandu Valley
801,Hindu architecture Nepal Kathmandu Valley
802,Hindu art Nepal Kathmandu Valley
803,Architecture Modern
804,Art Modern
805,Families in art
806,Family in art
807,Home in art
808,Tiles
809,Tiles in interior decoration
810,Architecture Study and teaching Northwest Pacific
811,Building Study and teaching Northwest Pacific
812,University of Washington
813,Dwellings Washington State Seattle
814,Vernacular architecture Washington State Seattle
815,Architecture North America 20th century
816,Architecture North America History 20th century
817,Glass Design
818,Architecture Domestic West U S
819,Architecture West U S 20th century
820,Architecture West U S History 20th century
821,Interior decoration Dictionaries
822,Architecture Victorian
823,Building Brick
824,Building Terra cotta
825,Architecture and society Spain
826,Architecture Medieval Spain
827,Architecture and history
828,Eclecticism in architecture
829,Architecture Washington State Seattle
830,Architecture West U S
831,Architecture Colonial Massachusetts
832,Architecture Massachusetts
833,Cliff dwellings Pictorial works
834,Pueblos Pictorial works
835,Architecture British Columbia Victoria
836,Historic buildings British Columbia Victoria
837,Amusements
838,Fantastic architecture
839,Architecture Environmental aspects United States
840,Commercial buildings United States
841,Commercial buildings Forecasting Exhibitions
842,Sustainable architecture Forecasting Exhibitions
843,Architecture Renaissance Europe
844,Architecture Carolingian
845,Architecture Domestic Virginia Williamsburg
846,African American quiltmakers Alabama Wilcox County Exhibitions
847,African American quilts Alabama Wilcox County Exhibitions
